	GRB	UTC_Time	BAT_RA	BAT_Dec	BAT_Error_Radius	BAT_T90_lo	BAT_T90_hi	BAT_Fluence	BAT_Fluence_Error	BAT_Peak_Photon_Flux	BAT_Peak_Photon_Flux_Error	BAT_Photon_Index	BAT_Photon_Index_Model_Index	BAT_Photon_Index_Error_Min	BAT_Photon_Index_Error_Max	XRT_RA	XRT_Dec	XRT_Error_Radius	XRT_Time_to_First_Observation	XRT_Early_Flux	XRT_11_Hour_Flux	XRT_24_Hour_Flux	XRT_Initial_Temporal_Index	XRT_Spectral_Index_Gamma	XRT_Column_Density_NH	UVOT_RA	UVOT_Dec	UVOT_Error_Radius	UVOT_Time_to_First_Observation	UVOT_V_lo	UVOT_V_hi	UVOT_B_lo	UVOT_B_hi	UVOT_U_lo	UVOT_U_hi	UVOT_UVW1_lo	UVOT_UVW1_hi	UVOT_UVM2_lo	UVOT_UVM2_hi	UVOT_UVW2_lo	UVOT_UVW2_hi	UVOT_White_lo	UVOT_White_hi	UVOT_White_FC_lo	UVOT_White_FC_hi	UVOT_U_FC_lo	UVOT_U_FC_hi	Redshift	Redshift_Error
0	180404A	1522802735000	83.54	-37.168	1.1	35.2	35.2	13.0	1.0	1.3	0.2	1.95	0	0.12	0.12	83.64166666666665	-36.830555555555556	1.9	86.46		0.06647815900000001	0.04346353	-0.5447	1.6200700000000001	0.307114640277	83.64166666666665	-36.830555555555556	0.5	90.0	18.9		19.4		18.95	18.95	17.8		17.4		19.45	19.45	19.34	19.34					1.0	0.0
1	180329B	1522332503000	82.905	-23.694000000000003	1.8	210.0	210.0	33.0	3.0	1.4	0.4	0.97	1	0.56	0.56	82.87916666666666	-22.30527777777778	1.4	103.59	45.7	0.07583939999999999	0.02386783	-0.9818	1.86768	2.62957	82.87916666666666	-22.30527777777778	0.43	113.0	17.25	17.25	17.94	17.94	17.0	17.0	18.72	18.72	19.8		20.2		17.69	17.69					1.998	0.0
2	180325A	1521942782000	157.416	24.461	1.1	94.1	94.1	65.0	2.0	9.4	0.3	1.18	0	0.05	0.05	157.37083333333334	24.4575	1.4	73.38	468.0	0.122512254	0.0256054846	0.3837	1.8584599999999998	13.9058	157.37083333333334	24.4575	0.44	82.0	18.8		20.1		20.0		20.1		19.4		20.9		18.48	18.48					2.249	0.0009999999999998899
3	180314A	1520988211000	99.208	-24.53	3.1	51.2	51.2	110.0	4.0	7.9	0.6	0.83	1	0.25	0.25	99.40416666666667	-23.50861111111111	1.4	159.29	158.0	0.115483805	0.055489547	-2.596	1.76908	7.38421e-13	99.40416666666667	-23.50861111111111	0.42	167.0	17.07	17.07	18.09	18.09	16.95	16.95	17.98	17.98	18.12	18.12	18.75	18.75	17.86	17.86					1.445	0.0
4	180205A	1517804729300	126.819	11.536	1.1	15.5	15.5	10.0	1.0	3.4	0.3	2.04	0	0.13	0.13	126.86249999999998	11.542222222222222	1.5		95.0	0.09816144199999999	0.045125615	-4.774	1.88733	3.11456	126.86249999999998	11.542222222222222	0.42	182.0	16.11	16.11	16.65	16.65	16.82	16.82	16.04	16.04	16.32	16.32	17.06	17.06	16.33	16.33					1.409	0.0
5	180115A	1515989763000	12.04	-15.632	1.8	40.9	40.9	7.6	1.1	0.6	0.2	1.66	0	0.22	0.22	12.200000000000001	-14.373055555555554	1.4	131.07	35.7	0.0634289	0.023520684	-3.6180000000000003	1.9512	0.411125	12.200000000000001	-14.373055555555554	0.43	140.0	16.5	16.5	16.93	16.93	16.32	16.32	20.7		21.8		20.2		17.61	17.61					2.487	0.0
6	171222A	1513959899000	148.273	35.624	1.7	174.8	174.8	19.0	2.0	0.7	0.2	2.07	0	0.17	0.17	148.4708333333333	35.62694444444445	2.3	169.7	669.0	0.06646176	0.05870592	-2.046	1.9900099999999998	0.10685700312893				176.0	19.2		20.3		20.3		19.4		19.3		19.6								2.409	0.0
7	171205A	1512458443000	167.423	-12.599	1.6	189.4	189.4	36.0	3.0	1.0	0.3	1.41	0	0.14	0.14	167.2875	-11.406944444444443	1.5	144.69	281.0	0.07951235200000001	0.08806688	-1.84	1.66173	0.047253500000000004	167.2875	-11.406944444444443		154.0	18.22	18.22	18.45	18.45	17.78	17.78	17.13	17.13	17.11	17.11	16.96	16.96	17.7	17.7					0.0368	0.0
8	171020A	1508540830000	39.26	15.199000000000002	1.8	41.9	41.9	12.0	1.0	0.7	0.2	1.04	0	0.2	0.2	39.15	15.203333333333333	1.4	144.45		0.04986495	0.025179252000000003	-2.315	1.69134	1.7108700000000001				147.0	19.4		20.8		20.2		20.7		20.3		20.3		21.4						1.87	0.0
9	170903A	1504442947000	254.532	34.985	1.3	29.2	29.2	24.0	2.0	3.9	0.5	1.94	0	0.12	0.12	254.74166666666667	34.98277777777778	1.4	3117.48		0.17067335600000003	0.08844602900000001	-0.02095	2.20256	5.491716				3484.0	1.7		20.5		21.0		20.7		20.4		21.8		21.6						0.886	0.0
