GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
180404A	00:45:35	821881	83.540	-37.168	1.1	35.2	13	1	1.3	0.2	1.95, PL	0.12	05:34:11.74	-37:10:04.8	1.9	86.46	n/a	0.066478159	0.04346353	-0.5447	1.62007	0.307114640277	05:34:11.64	-37:10:03.9	0.50	90	V>18.9	B>19.4|U=18.95|UVW1>17.8|UVM2>17.4|UVW2=19.45|White=19.34	VLT, MASTER-OAFA, Faulkes South (2m)	1.000 (VLT: absorption)				Jeff Gropp
180329B	14:08:23	819490	82.905	-23.694	1.8	210.0	33	3	1.4	0.4	0.97, CPL	0.56	05:31:36.91	-23:41:27.4	1.4	103.59	45.7	0.0758394	0.02386783	-0.9818	1.86768	2.62957	05:31:36.91	-23:41:25.8	0.43	113	V=17.25	B=17.94|U=17.00|UVW1=18.72|UVM2>19.8|UVW2>20.2|White=17.69	NOT, HJT (1.5m), VLT, Faulks South (2m)	1.998 (VLT: absorption)				Judy Racusin
180325A	01:53:02	817564	157.416	24.461	1.1	94.1	65	2	9.4	0.3	1.18, PL	0.05	10:29:42.57	24:27:48.9	1.4	73.38	468	0.122512254	0.0256054846	0.3837	1.85846	13.9058	10:29:42.59	24:27:48.6	0.44	82	V>18.8	B>20.1|U>20.0|UVW1>20.1|UVM2>19.4|UVW2>20.9|White=18.48	Liverpool (2m), NOT (2.5m), REM (60cm), HJT (1.5m), SLKT (0.8m), D50 (0.5m), TAROT (25cm), MASTER-OAFA, MASTER-IAC, MPG (2.2m), Konus-Wind, VLT, AstroSat CZTI	2.25 (NOT: absorption)| 2.248 (VLT: absorption)				Eleonora Troja
180314A	00:43:31	814129	99.208	-24.530	3.1	51.2	110	4	7.9	0.6	0.83, CPL	0.25	06:37:03.70	-24:29:46.5	1.4	159.29	158	0.115483805	0.055489547	-2.596	1.76908	0.000000000000738421	06:37:03.68	-24:29:46.0	0.42	167	V=17.07	B=18.09|U=16.95|UVW1=17.98|UVM2=18.12|UVW2=18.75|White=17.86	MPG (2.2m), MASTER-IAC, MASTER-OAFA, REM (60cm), VLT, Fermi (GBM), LCO (1m & 2m), TAROT (25cm), Konus-Wind, AstroSat CZTI	1.445 (VLT: absorption)				Paolo D'Avanzo
180205A	04:25:29.3	808625	126.819	11.536	1.1	15.5	10	1	3.4	0.3	2.04, PL	0.13	08:27:16.72	11:32:31.6	1.5	n/a	95.0	0.098161442	0.045125615	-4.774	1.88733	3.11456	08:27:16.74	11:32:30.9	0.42	182	V=16.11	B=16.65|U=16.82|UVW1=16.04|UVM2=16.32|UVW2=17.06|White=16.33	KAIT (0.76m), MPG (2.2m), VLT, Fermi (GBM), Sayan (AZT-33IK), Nickel (1m), Xinglong TNT, Nanshan (1m), Mt. Lemmon (1m), Hankasalmi Observatory (0.4m), Abastumani Observatory AS-32 (0.7m), DOAO (1m), BAO (1m), Palomar (60"), Sayan Observatory (AZT-33IK)	1.409 (VLT: absorption)				Phil Evans
180115A	04:16:03	805318	12.040	-15.632	1.8	40.9	7.6	1.1	0.6	0.2	1.66, PL	0.22	00:48:09.32	-15:37:50.5	1.4	131.07	35.7	0.0634289	0.023520684	-3.618	1.9512	0.411125	00:48:09.27	-15:37:49.9	0.43	140	V=16.50	B=16.93|U=16.32|UVW1>20.7|UVM2>21.8|UVW2>20.2|White=17.61	NOT (2.5m), GTC (1.4m), Palomar (60")	2.487 (GTC)				John Cannizzo
171222A	16:24:59	799669	148.273	35.624	1.7	174.8	19	2	0.7	0.2	2.07, PL	0.17	09:53:06.64	35:37:35.9	2.3	169.70	669	0.06646176	0.05870592	-2.046	1.99001	0.10685700312893	n/a	n/a	n/a	176	V>19.2	U>20.3|B>20.3|UVW1>19.4|UVM2>19.3|UVW2>19.6	NOT, GTC (10.4m), MASTER-Net, Nanshan (1m), Fermi (GBM)	2.409 (GTC: absorption)		UVOT: no detection		Judith Racusin
171205A	07:20:43	794972	167.423	-12.599	1.6	189.4	36	3	1.0	0.3	1.41, PL	0.14	11:09:39.50	-12:35:18.6	1.5	144.69	281	0.079512352	0.08806688	-1.84	1.66173	0.0472535	11:09:39.547	-12:35:17.93	n/a	154	V= 18.22	U=17.78|B=18.45|UVW1=17.13|UVM2=17.11|UVW2=16.96|White=17.70	VLT, HJT (1.5m), GMG (2.4m), NOEMA @ 150GHz, LSGT (0.43m), TNG (3.6m), GOTO, CTIO (1.3m), CHILESCOPE (1m), LCO (1m), MPG (2.2m), MASTER-SAAO, GTC (10.4m), TSHAO (1m), UKIRT (3.8m), VLA @ 6 GHz, SAO-RAS, Mondy (AZT-33IK), iTelescope (0.43m), MASTER-Net, Konus-Wind, JCMT, ALMA @ 92 and 340 GHz, RATAN @ 4.7 and 8.2 GHz, GMRT @ 1400 MHz, VLBA @ 4.4 GHz, eMERLIN @ 5.1 GHz	0.0368 (VLT: emission & absorption)	Likely host: 2MASX J11093966-1235116 (z = 0.037)			Valerio D'Elia
171020A	23:07:10	780845	39.260	15.199	1.8	41.9	12	1	0.7	0.2	1.04, PL	0.20	02:36:59.61	15:12:14.9	1.4	144.45	n/a	0.04986495	0.025179252	-2.315	1.69134	1.71087	n/a	n/a	n/a	147	V>19.4	B>20.8|U>20.2|UVW1>20.7|UVM2>20.3|UVW2>20.3|White>21.4	NOT, SAO RAS (1.0m), Liverpool (2m), HJT (1.5m), TAROT (25cm)	1.87 (NOT: absorption)				Kim Page
170903A	12:49:07	770528	254.532	34.985	1.3	29.2	24	2	3.9	0.5	1.94, PL	0.12	16:58:06.24	34:58:44.7	1.4	3117.48	n/a	0.170673356	0.088446029	-0.02095	2.20256	5.491716	n/a	n/a	n/a	3484	V>1.7	B>20.5|U>21.0|UVW1>20.7|UVM2>20.4|UVW2>21.8|White>21.6	Fermi (GBM)	0.886 (GTC: emission from host)	i-band (AB) = 23.17 (GTC)	Due to an observing constraint, Swift did not slew until T0+49.5 minutes.|UVOT: no detection		Craig Markwardt
